callsign,used_runway,runway_time,taxi_time,t_start,t_end
1,3,31.0,273.0,2024-10-22 00:36:25,2024-10-22 00:36:56
2,2,39.0,375.0,2024-10-22 01:33:05,2024-10-22 01:33:44
3,3,51.0,228.0,2024-10-22 02:27:39,2024-10-22 02:28:30
4,1,83.0,235.0,2024-10-22 04:04:29,2024-10-22 04:05:52
5,3,454.0,94.0,2024-10-22 03:29:59,2024-10-22 03:37:33
6,2,25.0,410.0,2024-10-22 03:49:05,2024-10-22 03:49:30
7,3,51.0,318.0,2024-10-22 03:38:27,2024-10-22 03:39:18
8,2,52.0,412.0,2024-10-22 03:56:58,2024-10-22 03:57:50
9,2,77.0,313.0,2024-10-22 03:53:37,2024-10-22 03:54:54
10,2,36.0,341.0,2024-10-22 03:58:43,2024-10-22 03:59:19
11,3,33.0,355.0,2024-10-22 03:48:25,2024-10-22 03:48:58
12,1,26.0,204.0,2024-10-22 04:01:29,2024-10-22 04:01:55
13,1,71.0,262.0,2024-10-22 04:02:36,2024-10-22 04:03:47
14,1,78.0,252.0,2024-10-22 04:06:26,2024-10-22 04:07:44
15,1,49.0,267.0,2024-10-22 04:09:03,2024-10-22 04:09:52
16,3,23.0,246.0,2024-10-22 04:00:49,2024-10-22 04:01:12
17,3,35.0,365.0,2024-10-22 04:04:10,2024-10-22 04:04:45
18,1,34.0,176.0,2024-10-22 04:18:17,2024-10-22 04:18:51
19,1,27.0,214.0,2024-10-22 04:22:06,2024-10-22 04:22:33
20,3,61.0,657.0,2024-10-22 04:16:44,2024-10-22 04:17:45
21,1,19.0,249.0,2024-10-22 04:24:21,2024-10-22 04:24:40
22,1,21.0,194.0,2024-10-22 04:28:12,2024-10-22 04:28:33
23,1,43.0,197.0,2024-10-22 05:03:21,2024-10-22 05:04:04
24,1,80.0,366.0,2024-10-22 04:51:35,2024-10-22 04:52:55
25,1,23.0,246.0,2024-10-22 04:47:33,2024-10-22 04:47:56
26,3,34.0,165.0,2024-10-22 04:30:00,2024-10-22 04:30:34
27,3,43.0,60.0,2024-10-22 04:34:11,2024-10-22 04:34:54
28,3,37.0,118.0,2024-10-22 04:36:32,2024-10-22 04:37:09
29,1,42.0,185.0,2024-10-22 04:44:20,2024-10-22 04:45:02
30,3,36.0,303.0,2024-10-22 04:39:36,2024-10-22 04:40:12
31,1,45.0,211.0,2024-10-22 04:50:32,2024-10-22 04:51:17
32,1,18.0,422.0,2024-10-22 04:49:26,2024-10-22 04:49:44
33,3,16.0,114.0,2024-10-22 04:42:37,2024-10-22 04:42:53
34,1,17.0,317.0,2024-10-22 04:54:36,2024-10-22 04:54:53
35,1,26.0,166.0,2024-10-22 04:57:29,2024-10-22 04:57:55
36,1,34.0,162.0,2024-10-22 05:00:06,2024-10-22 05:00:40
37,1,27.0,262.0,2024-10-22 05:01:58,2024-10-22 05:02:25
38,2,15.0,448.0,2024-10-22 04:57:44,2024-10-22 04:57:59
39,1,21.0,157.0,2024-10-22 05:06:40,2024-10-22 05:07:01
40,1,27.0,154.0,2024-10-22 05:08:26,2024-10-22 05:08:53
41,2,19.0,352.0,2024-10-22 05:02:02,2024-10-22 05:02:21
42,2,19.0,445.0,2024-10-22 05:03:39,2024-10-22 05:03:58
43,1,44.0,413.0,2024-10-22 05:18:33,2024-10-22 05:19:17
45,1,77.0,209.0,2024-10-22 05:12:48,2024-10-22 05:14:05
46,2,19.0,353.0,2024-10-22 05:06:38,2024-10-22 05:06:57
49,2,25.0,460.0,2024-10-22 05:13:54,2024-10-22 05:14:19
50,2,19.0,437.0,2024-10-22 05:16:00,2024-10-22 05:16:19
51,2,26.0,425.0,2024-10-22 05:17:30,2024-10-22 05:17:56
52,1,22.0,198.0,2024-10-22 05:26:05,2024-10-22 05:26:27
53,1,44.0,650.0,2024-10-22 05:35:42,2024-10-22 05:36:26
55,1,40.0,294.0,2024-10-22 05:29:26,2024-10-22 05:30:06
57,1,17.0,313.0,2024-10-22 05:34:11,2024-10-22 05:34:28
58,2,12.0,371.0,2024-10-22 05:24:44,2024-10-22 05:24:56
59,1,23.0,173.0,2024-10-22 05:32:32,2024-10-22 05:32:55
60,2,11.0,368.0,2024-10-22 05:26:10,2024-10-22 05:26:21
61,2,16.0,325.0,2024-10-22 05:27:40,2024-10-22 05:27:56
62,2,17.0,336.0,2024-10-22 05:31:49,2024-10-22 05:32:06
63,2,17.0,390.0,2024-10-22 05:33:12,2024-10-22 05:33:29
66,1,57.0,968.0,2024-10-22 06:28:44,2024-10-22 06:29:41
67,2,36.0,419.0,2024-10-22 05:42:00,2024-10-22 05:42:36
68,1,79.0,324.0,2024-10-22 05:55:16,2024-10-22 05:56:35
69,1,19.0,181.0,2024-10-22 05:52:24,2024-10-22 05:52:43
70,1,31.0,202.0,2024-10-22 05:54:16,2024-10-22 05:54:47
71,2,15.0,274.0,2024-10-22 05:47:38,2024-10-22 05:47:53
72,2,13.0,414.0,2024-10-22 05:50:16,2024-10-22 05:50:29
74,2,11.0,337.0,2024-10-22 05:54:55,2024-10-22 05:55:06
75,1,44.0,194.0,2024-10-22 06:06:33,2024-10-22 06:07:17
76,1,78.0,323.0,2024-10-22 06:10:08,2024-10-22 06:11:26
77,2,16.0,497.0,2024-10-22 06:00:18,2024-10-22 06:00:34
78,1,23.0,148.0,2024-10-22 06:08:35,2024-10-22 06:08:58
80,1,39.0,178.0,2024-10-22 06:12:14,2024-10-22 06:12:53
81,2,19.0,324.0,2024-10-22 06:06:46,2024-10-22 06:07:05
83,1,64.0,261.0,2024-10-22 06:21:53,2024-10-22 06:22:57
84,1,32.0,132.0,2024-10-22 06:16:30,2024-10-22 06:17:02
85,1,61.0,258.0,2024-10-22 06:17:29,2024-10-22 06:18:30
86,1,67.0,288.0,2024-10-22 06:20:22,2024-10-22 06:21:29
87,1,86.0,334.0,2024-10-22 06:32:34,2024-10-22 06:34:00
88,1,84.0,180.0,2024-10-22 06:18:33,2024-10-22 06:19:57
89,2,13.0,315.0,2024-10-22 06:11:34,2024-10-22 06:11:47
90,1,72.0,514.0,2024-10-22 06:24:38,2024-10-22 06:25:50
91,2,9.0,492.0,2024-10-22 06:14:15,2024-10-22 06:14:24
92,1,31.0,193.0,2024-10-22 06:23:44,2024-10-22 06:24:15
94,1,43.0,397.0,2024-10-22 06:27:49,2024-10-22 06:28:32
95,1,85.0,223.0,2024-10-22 06:25:57,2024-10-22 06:27:22
96,1,65.0,326.0,2024-10-22 06:30:01,2024-10-22 06:31:06
97,1,69.0,427.0,2024-10-22 06:31:16,2024-10-22 06:32:25
101,1,52.0,399.0,2024-10-22 06:34:28,2024-10-22 06:35:20
104,1,104.0,288.0,2024-10-22 06:37:01,2024-10-22 06:38:45
105,1,77.0,369.0,2024-10-22 06:39:03,2024-10-22 06:40:20
106,2,31.0,313.0,2024-10-22 06:30:14,2024-10-22 06:30:45
107,1,59.0,284.0,2024-10-22 06:50:47,2024-10-22 06:51:46
