callsign,used_runway,runway_time,t_start,t_end,active_operations
1,2,23.0,2024-10-25 00:24:05,2024-10-25 00:24:28,1
2,3,35.0,2024-10-25 00:11:42,2024-10-25 00:12:17,1
5,3,34.0,2024-10-25 01:17:40,2024-10-25 01:18:14,1
6,3,19.0,2024-10-25 01:54:52,2024-10-25 01:55:11,1
7,3,18.0,2024-10-25 01:57:56,2024-10-25 01:58:14,1
8,3,49.0,2024-10-25 02:18:06,2024-10-25 02:18:55,1
9,2,48.0,2024-10-25 03:41:16,2024-10-25 03:42:04,1
10,2,125.0,2024-10-25 03:53:25,2024-10-25 03:55:30,1
11,1,75.0,2024-10-25 04:12:15,2024-10-25 04:13:30,1
12,1,174.0,2024-10-25 03:36:57,2024-10-25 03:39:51,1
13,2,31.0,2024-10-25 03:48:46,2024-10-25 03:49:17,1
14,3,53.0,2024-10-25 03:43:57,2024-10-25 03:44:50,1
15,2,36.0,2024-10-25 03:59:42,2024-10-25 04:00:18,1
16,1,29.0,2024-10-25 04:04:25,2024-10-25 04:04:54,1
17,3,47.0,2024-10-25 03:57:52,2024-10-25 03:58:39,1
18,1,33.0,2024-10-25 04:09:22,2024-10-25 04:09:55,1
19,1,53.0,2024-10-25 04:10:47,2024-10-25 04:11:40,1
20,2,35.0,2024-10-25 04:05:36,2024-10-25 04:06:11,1
21,1,42.0,2024-10-25 04:15:54,2024-10-25 04:16:36,1
22,1,51.0,2024-10-25 04:20:58,2024-10-25 04:21:49,1
23,1,23.0,2024-10-25 05:03:38,2024-10-25 05:04:01,1
24,1,78.0,2024-10-25 04:22:18,2024-10-25 04:23:36,1
25,1,29.0,2024-10-25 04:19:45,2024-10-25 04:20:14,1
27,1,44.0,2024-10-25 04:25:09,2024-10-25 04:25:53,1
28,2,23.0,2024-10-25 04:29:36,2024-10-25 04:29:59,1
29,1,56.0,2024-10-25 04:40:54,2024-10-25 04:41:50,1
30,2,20.0,2024-10-25 04:30:54,2024-10-25 04:31:14,1
31,1,25.0,2024-10-25 04:43:17,2024-10-25 04:43:42,1
32,2,23.0,2024-10-25 04:35:12,2024-10-25 04:35:35,1
33,1,53.0,2024-10-25 04:44:01,2024-10-25 04:44:54,1
34,1,37.0,2024-10-25 04:46:10,2024-10-25 04:46:47,1
35,1,45.0,2024-10-25 04:53:24,2024-10-25 04:54:09,1
36,1,20.0,2024-10-25 04:49:20,2024-10-25 04:49:40,1
37,2,18.0,2024-10-25 04:50:35,2024-10-25 04:50:53,1
38,1,46.0,2024-10-25 04:59:21,2024-10-25 05:00:07,2
39,1,109.0,2024-10-25 05:00:36,2024-10-25 05:02:25,2
40,2,17.0,2024-10-25 04:56:46,2024-10-25 04:57:03,1
41,1,26.0,2024-10-25 05:05:35,2024-10-25 05:06:01,2
42,2,31.0,2024-10-25 04:59:28,2024-10-25 04:59:59,2
43,1,38.0,2024-10-25 05:11:05,2024-10-25 05:11:43,2
44,2,16.0,2024-10-25 05:01:11,2024-10-25 05:01:27,2
45,1,33.0,2024-10-25 05:08:20,2024-10-25 05:08:53,2
46,1,62.0,2024-10-25 05:13:30,2024-10-25 05:14:32,2
47,1,36.0,2024-10-25 05:12:28,2024-10-25 05:13:04,1
48,1,63.0,2024-10-25 05:14:54,2024-10-25 05:15:57,1
49,2,19.0,2024-10-25 05:02:48,2024-10-25 05:03:07,1
50,2,33.0,2024-10-25 05:04:24,2024-10-25 05:04:57,1
51,1,39.0,2024-10-25 05:09:39,2024-10-25 05:10:18,2
52,2,36.0,2024-10-25 05:05:59,2024-10-25 05:06:35,2
53,1,34.0,2024-10-25 05:17:15,2024-10-25 05:17:49,2
54,2,18.0,2024-10-25 05:08:44,2024-10-25 05:09:02,2
55,2,16.0,2024-10-25 05:10:05,2024-10-25 05:10:21,2
56,2,15.0,2024-10-25 05:11:27,2024-10-25 05:11:42,2
57,2,17.0,2024-10-25 05:13:15,2024-10-25 05:13:32,2
58,2,18.0,2024-10-25 05:17:25,2024-10-25 05:17:43,2
59,2,24.0,2024-10-25 05:18:57,2024-10-25 05:19:21,1
60,1,37.0,2024-10-25 05:29:51,2024-10-25 05:30:28,2
61,2,22.0,2024-10-25 05:20:36,2024-10-25 05:20:58,1
62,2,16.0,2024-10-25 05:22:17,2024-10-25 05:22:33,1
63,1,25.0,2024-10-25 05:31:46,2024-10-25 05:32:11,1
64,2,19.0,2024-10-25 05:23:59,2024-10-25 05:24:18,2
65,1,36.0,2024-10-25 06:02:55,2024-10-25 06:03:31,1
66,3,373.0,2024-10-25 05:23:25,2024-10-25 05:29:38,3
67,1,47.0,2024-10-25 05:33:10,2024-10-25 05:33:57,1
68,1,24.0,2024-10-25 05:59:12,2024-10-25 05:59:36,1
69,2,17.0,2024-10-25 05:28:43,2024-10-25 05:29:00,2
70,2,22.0,2024-10-25 05:30:02,2024-10-25 05:30:24,2
71,1,21.0,2024-10-25 05:45:38,2024-10-25 05:45:59,1
72,2,6.0,2024-10-25 05:37:36,2024-10-25 05:37:42,1
73,2,18.0,2024-10-25 05:40:23,2024-10-25 05:40:41,1
74,1,45.0,2024-10-25 05:47:43,2024-10-25 05:48:28,2
75,2,10.0,2024-10-25 05:42:02,2024-10-25 05:42:12,1
76,1,36.0,2024-10-25 06:00:20,2024-10-25 06:00:56,2
78,3,21.0,2024-10-25 05:48:00,2024-10-25 05:48:21,2
79,3,35.0,2024-10-25 05:50:25,2024-10-25 05:51:00,1
80,3,22.0,2024-10-25 05:52:41,2024-10-25 05:53:03,1
81,1,28.0,2024-10-25 06:05:07,2024-10-25 06:05:35,1
82,3,22.0,2024-10-25 05:56:37,2024-10-25 05:56:59,1
83,1,80.0,2024-10-25 06:05:59,2024-10-25 06:07:19,2
84,3,24.0,2024-10-25 06:00:04,2024-10-25 06:00:28,2
85,1,53.0,2024-10-25 06:10:50,2024-10-25 06:11:43,2
86,1,23.0,2024-10-25 06:10:20,2024-10-25 06:10:43,1
87,1,22.0,2024-10-25 06:13:14,2024-10-25 06:13:36,1
88,3,25.0,2024-10-25 06:06:20,2024-10-25 06:06:45,2
89,1,87.0,2024-10-25 06:18:15,2024-10-25 06:19:42,2
90,3,21.0,2024-10-25 06:09:32,2024-10-25 06:09:53,1
91,3,17.0,2024-10-25 06:11:38,2024-10-25 06:11:55,2
92,1,39.0,2024-10-25 06:20:26,2024-10-25 06:21:05,1
93,1,35.0,2024-10-25 06:23:07,2024-10-25 06:23:42,1
94,3,45.0,2024-10-25 06:14:10,2024-10-25 06:14:55,1
95,1,41.0,2024-10-25 06:28:59,2024-10-25 06:29:40,1
96,1,23.0,2024-10-25 06:27:52,2024-10-25 06:28:15,1
97,1,32.0,2024-10-25 06:26:32,2024-10-25 06:27:04,1
98,1,52.0,2024-10-25 06:31:48,2024-10-25 06:32:40,1
99,3,57.0,2024-10-25 06:18:54,2024-10-25 06:19:51,2
100,1,64.0,2024-10-25 06:32:45,2024-10-25 06:33:49,1
101,3,22.0,2024-10-25 06:21:40,2024-10-25 06:22:02,1
102,1,26.0,2024-10-25 06:30:55,2024-10-25 06:31:21,1
103,1,57.0,2024-10-25 06:35:59,2024-10-25 06:36:56,1
104,3,18.0,2024-10-25 06:24:39,2024-10-25 06:24:57,1
105,1,52.0,2024-10-25 06:34:26,2024-10-25 06:35:18,1
106,1,52.0,2024-10-25 06:37:42,2024-10-25 06:38:34,1
107,1,44.0,2024-10-25 06:42:03,2024-10-25 06:42:47,1
108,1,31.0,2024-10-25 06:40:41,2024-10-25 06:41:12,1
109,1,111.0,2024-10-25 06:49:25,2024-10-25 06:51:16,3
110,1,25.0,2024-10-25 06:49:21,2024-10-25 06:49:46,2
111,1,45.0,2024-10-25 06:55:07,2024-10-25 06:55:52,1
112,1,71.0,2024-10-25 06:51:37,2024-10-25 06:52:48,1
113,1,64.0,2024-10-25 06:53:16,2024-10-25 06:54:20,1
114,1,108.0,2024-10-25 06:56:22,2024-10-25 06:58:10,1
115,3,47.0,2024-10-25 06:46:44,2024-10-25 06:47:31,1
117,1,59.0,2024-10-25 06:58:50,2024-10-25 06:59:49,1
118,3,40.0,2024-10-25 06:50:02,2024-10-25 06:50:42,2
119,1,51.0,2024-10-25 07:00:16,2024-10-25 07:01:07,1
120,1,137.0,2024-10-25 07:05:12,2024-10-25 07:07:29,2
121,1,61.0,2024-10-25 07:08:12,2024-10-25 07:09:13,1
122,1,66.0,2024-10-25 07:09:47,2024-10-25 07:10:53,1
123,3,23.0,2024-10-25 07:01:36,2024-10-25 07:01:59,1
124,1,58.0,2024-10-25 07:14:23,2024-10-25 07:15:21,1
125,3,28.0,2024-10-25 07:05:27,2024-10-25 07:05:55,2
126,1,41.0,2024-10-25 07:17:54,2024-10-25 07:18:35,2
127,1,31.0,2024-10-25 07:20:43,2024-10-25 07:21:14,2
128,1,65.0,2024-10-25 07:25:46,2024-10-25 07:26:51,1
129,1,85.0,2024-10-25 07:27:09,2024-10-25 07:28:34,2
130,3,58.0,2024-10-25 07:18:17,2024-10-25 07:19:15,2
133,3,46.0,2024-10-25 07:21:09,2024-10-25 07:21:55,2
134,3,28.0,2024-10-25 07:28:12,2024-10-25 07:28:40,2
135,3,46.0,2024-10-25 07:30:09,2024-10-25 07:30:55,1
136,1,21.0,2024-10-25 07:38:32,2024-10-25 07:38:53,1
137,3,38.0,2024-10-25 07:32:45,2024-10-25 07:33:23,1
138,2,29.0,2024-10-25 08:14:23,2024-10-25 08:14:52,1
139,2,41.0,2024-10-25 07:47:41,2024-10-25 07:48:22,1
